# Порог поддержки: 3%
# Всего транзакций: 7501
# Найдено наборов: 55
# набор | поддержка (доля) | поддержка (кол-во)
минеральная вода | 0.2384 | 1788
макароны | 0.1880 | 1410
яйца | 0.1797 | 1348
картофель-фри | 0.1709 | 1282
шоколад | 0.1638 | 1229
зеленый чай | 0.1321 | 991
молоко | 0.1296 | 972
говяжий фарш | 0.0983 | 737
замороженные овощи | 0.0953 | 715
блинчики | 0.0951 | 713
гамбургер | 0.0872 | 654
торт | 0.0811 | 608
печенье | 0.0804 | 603
эскалоп | 0.0793 | 595
низкокалорийный йогурт | 0.0765 | 574
рис | 0.0760 | 570
креветки | 0.0715 | 536
помидоры | 0.0684 | 513
оливковое масло | 0.0659 | 494
замороженный смузи | 0.0633 | 475
индейка | 0.0625 | 469
макароны, минеральная вода | 0.0612 | 459
курица | 0.0600 | 450
минеральная вода, шоколад | 0.0527 | 395
тертый сыр | 0.0524 | 393
растительное масло | 0.0511 | 383
минеральная вода, яйца | 0.0509 | 382
суп | 0.0505 | 379
травы и перец | 0.0495 | 371
минеральная вода, молоко | 0.0480 | 360
мед | 0.0475 | 356
шампанское | 0.0468 | 351
свежий хлеб | 0.0431 | 323
лосось | 0.0425 | 319
говяжий фарш, минеральная вода | 0.0409 | 307
макароны, шоколад | 0.0408 | 306
говяжий фарш, макароны | 0.0403 | 302
макароны, яйца | 0.0387 | 290
макароны, молоко | 0.0369 | 277
картофель-фри, яйца | 0.0364 | 273
замороженные овощи, минеральная вода | 0.0357 | 268
картофель-фри, шоколад | 0.0344 | 258
блинчики, минеральная вода | 0.0337 | 253
картофель-фри, минеральная вода | 0.0337 | 253
пирожные | 0.0337 | 253
авокадо | 0.0333 | 250
шоколад, яйца | 0.0332 | 249
хот-дог | 0.0324 | 243
молоко, шоколад | 0.0321 | 241
творог | 0.0319 | 239
зеленый чай, минеральная вода | 0.0311 | 233
молоко, яйца | 0.0308 | 231
томатный сок | 0.0304 | 228
картофель-фри, макароны | 0.0301 | 226
сливочное масло | 0.0301 | 226
